tst1,56, Local-gov, 216851, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst23,36, Private, 197202, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States,?
tst24,32, Private, 84179, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst25,35, Local-gov, 233327, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States,?
tst26,30, Private, 152453, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico,?
tst27,58, Local-gov, 283635, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst28,60, Private, 39352, 7th-8th, 4, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 48, United-States,?
tst29,51, Private, 410114, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst30,30, Private, 369027, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 45, United-States,?
tst31,43, Private, 174524, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst32,36, Local-gov, 110866, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst33,20, Private, 299047, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States,?
tst34,42, Local-gov, 126319, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States,?
tst35,31, State-gov, 301526, Some-college, 10, Married-spouse-absent, Other-service, Other-relative, White, Male, 0, 0, 40, United-States,?
tst36,54, Private, 279129, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst37,20, Private, 138768, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 30, United-States,?
tst38,39, Private, 176186, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States,?
tst39,39, Private, 117683, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst40,23, Private, 205865, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 28, United-States,?
tst41,47, Private, 21906, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst42,54, Local-gov, 166398, Some-college, 10, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 35, United-States,?
tst43,32, Private, 288273, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 70, Mexico,?
tst44,56, Private, 112840, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States,?
tst45,33, Private, 26973, Assoc-voc, 11, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 40, United-States,?
tst46,38, Private, 412296, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 28, United-States,?
tst47,41, Private, 118619, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 50, United-States,?
tst48,33, Private, 178506, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst49,51, Private, 241346, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States,?
tst50,32, Private, 202952, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst51,49, Local-gov, 116892, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst52,45, Federal-gov, 320818, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 80, United-States,?
tst53,22, ?, 42004, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States,?
tst54,31, Private, 32406, Some-college, 10, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 20, United-States,?
tst55,55, Private, 326297, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst56,65, Self-emp-not-inc, 167414, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 59, United-States,?
tst57,50, Self-emp-not-inc, 343748, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States,?
tst58,44, Local-gov, 34935, Some-college, 10, Never-married, Other-service, Own-child, Black, Male, 0, 0, 40, United-States,?
tst59,45, Federal-gov, 283037, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst60,24, Private, 96279, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States,?
tst61,39, Private, 83893, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst62,39, Private, 191161, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst63,52, Private, 146378, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst64,30, Private, 30226, 11th, 7, Divorced, Sales, Own-child, White, Male, 0, 0, 40, United-States,?
tst65,49, Private, 147322, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, Peru,?
tst66,44, Self-emp-not-inc, 120837, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 66, United-States,?
tst67,40, Private, 100584, 10th, 6, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States,?
tst68,38, Private, 83727, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 48, United-States,?
tst69,46, Private, 370119, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 60, United-States,?
tst70,37, Private, 70240, HS-grad, 9, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female, 0, 0, 40, Philippines,?
tst71,37, Private, 405723, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico,?
tst72,38, Private, 86551, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 48, United-States,?
tst73,29, Private, 247445, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst74,21, Private, 32616, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 1719, 16, United-States,?
tst75,57, Local-gov, 52267, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 72, United-States,?
tst76,27, Private, 219371, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst77,19, Private, 197384, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 10, United-States,?
tst78,49, Private, 169818, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States,?
tst79,42, Local-gov, 339671, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 8614, 0, 45, United-States,?
tst80,57, Private, 114495, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States,?
tst81,46, Local-gov, 36228, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States,?
tst82,44, Private, 144778, Some-college, 10, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst83,68, Private, 107910, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst84,25, Private, 199545, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 15, United-States,?
tst85,39, Private, 324420, 1st-4th, 2, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, Mexico,?
tst86,25, Private, 169990, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst87,53, Local-gov, 260106, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst88,44, Federal-gov, 220563, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States,?
tst89,32, State-gov, 253354, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States,?
tst90,27, Private, 335764, 11th, 7, Married-civ-spouse, Sales, Own-child, Black, Male, 0, 0, 35, United-States,?
tst91,61, Private, 238611, 7th-8th, 4, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 38, United-States,?
tst92,53, Private, 302868, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst93,25, Federal-gov, 144259, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States,?
tst94,19, Private, 125010, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 45, United-States,?
tst95,25, Private, 304032, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 36, United-States,?
tst96,49, Private, 168211, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1485, 40, United-States,?
tst97,61, Self-emp-not-inc, 115023, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 4, ?,?
tst98,58, Local-gov, 160586, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States,?
tst99,45, Private, 26522, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 1902, 35, United-States,?
tst100,37, Private, 35330, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1669, 55, United-States,?
tst101,28, State-gov, 130620, 11th, 7, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, India,?
tst102,21, Private, 60639, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 37, United-States,?
tst103,50, Private, 156877, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States,?
tst104,30, Private, 488720, 9th, 5, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, Mexico,?
tst105,33, Private, 127215, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States,?
tst106,37, State-gov, 160402, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States,?
tst107,20, Private, 236769, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States,?
tst108,29, Private, 241431, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 40, United-States,?
tst109,18, Private, 201901, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 1719, 15, United-States,?
tst110,42, Private, 37869, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst111,53, Private, 149784, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, United-States,?
tst112,40, Private, 29841, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States,?
tst113,23, Self-emp-not-inc, 519627, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 25, Mexico,?
tst114,36, Private, 183892, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 7298, 0, 44, United-States,?
tst115,61, Local-gov, 192060, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 30, ?,?
tst116,19, Private, 172893, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 30, United-States,?
tst117,32, State-gov, 117927, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States,?
tst118,54, Private, 183611, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 3137, 0, 50, United-States,?
tst119,33, Private, 86143, Some-college, 10, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, Philippines,?
tst120,61, Private, 355645, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 20, Trinadad&Tobago,?
tst121,46, Private, 86220, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst122,48, Private, 207058, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 37, United-States,?
tst123,64, Private, 319371, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States,?
tst124,44, Self-emp-inc, 153132, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 52, United-States,?
tst125,74, Self-emp-not-inc, 92298, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 10, United-States,?
tst126,75, ?, 164849, 9th, 5, Married-civ-spouse, ?, Husband, Black, Male, 1409, 0, 5, United-States,?
tst127,51, Private, 106728, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 60, United-States,?
tst128,35, Private, 174597, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst129,60, Private, 76127, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States,?
tst130,47, Private, 213140, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 7688, 0, 40, United-States,?
tst131,61, Local-gov, 167670, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst132,21, Private, 286853, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States,?
tst133,43, Local-gov, 147328, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States,?
tst134,19, Private, 116562, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States,?
tst135,22, Local-gov, 238831, Some-college, 10, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 40, United-States,?
tst136,61, Private, 43554, 5th-6th, 3, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 2339, 40, United-States,?
tst137,31, Private, 169240, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst138,32, Federal-gov, 454508, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst139,26, ?, 188343, HS-grad, 9, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst140,44, Private, 367749, 1st-4th, 2, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, El-Salvador,?
tst141,56, Self-emp-not-inc, 385632, 7th-8th, 4, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States,?
tst142,47, Local-gov, 148995, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 60, United-States,?
tst143,41, State-gov, 132551, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 35, United-States,?
tst144,29, Private, 227890, HS-grad, 9, Never-married, Protective-serv, Other-relative, Black, Male, 0, 0, 40, United-States,?
tst145,19, Private, 89397, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States,?
tst146,53, Private, 103931, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst147,35, Private, 182074, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 35, United-States,?
tst148,31, Private, 259931, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst149,51, Private, 24185, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst150,31, Private, 327825, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 2238, 40, United-States,?
tst151,30, Private, 398827, HS-grad, 9, Married-AF-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, United-States,?
tst152,59, Private, 361494, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst153,27, Private, 229803, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States,?
tst154,54, Private, 197481, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst155,44, Private, 160574, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 65, United-States,?
tst156,26, Private, 139992, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst157,43, Local-gov, 247514, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Male, 0, 0, 40, United-States,?
tst158,43, Self-emp-not-inc, 198096, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst159,32, Private, 194740, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, Greece,?
tst160,31, Private, 207537, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Male, 0, 1669, 50, United-States,?
tst161,43, Private, 220589, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst162,61, Private, 92691, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 3, United-States,?
tst163,43, Private, 334946, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States,?
tst164,26, Private, 159732, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States,?
tst165,39, Private, 172718, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst166,34, Private, 19847, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst167,51, Private, 138847, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst168,46, Private, 192208, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States,?
tst169,44, Private, 265266, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst170,41, Private, 187821, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 2885, 0, 40, United-States,?
tst171,40, ?, 162108, Bachelors, 13, Divorced, ?, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst172,40, Private, 315321, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 625, 52, United-States,?
tst173,39, Private, 75995, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States,?
tst174,29, Private, 151476, Some-college, 10, Separated, Sales, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst175,40, Private, 97688, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 48, United-States,?
tst176,61, Private, 159046, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst177,24, Local-gov, 117109, Bachelors, 13, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 27, United-States,?
tst178,31, Private, 119422, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst179,39, Private, 343403, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 36, United-States,?
tst180,18, Private, 104704, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States,?
tst181,21, Private, 342575, Some-college, 10, Never-married, Sales, Own-child, Black, Female, 0, 0, 30, United-States,?
tst182,62, Self-emp-not-inc, 171315, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States,?
tst183,18, Private, 107277, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States,?
tst184,53, Private, 123429, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States,?
tst185,22, Private, 437994, Some-college, 10, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 20, United-States,?
tst186,41, Local-gov, 343079, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1740, 20, United-States,?
tst187,27, Private, 406662, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 4416, 0, 40, United-States,?
tst188,54, Self-emp-inc, 175339, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst189,51, Private, 195105, HS-grad, 9, Divorced, Priv-house-serv, Own-child, White, Female, 0, 0, 40, United-States,?
tst190,20, ?, 29810, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States,?
tst191,33, Private, 171216, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst192,28, Private, 132870, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States,?
tst193,40, Private, 71738, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 46, United-States,?
tst194,38, Private, 298841, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst195,30, Private, 117393, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst196,48, Private, 316101, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst197,51, Local-gov, 175750, HS-grad, 9, Divorced, Transport-moving, Unmarried, Black, Male, 0, 0, 40, United-States,?
tst198,61, Private, 147845, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 31, United-States,?
tst199,50, Federal-gov, 176969, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 1590, 40, United-States,?
tst200,25, Private, 22546, Bachelors, 13, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 60, United-States,?
tst201,43, Private, 421837, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico,?
tst202,83, ?, 251951, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 0, 20, United-States,?
tst203,49, Private, 101825, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1977, 40, United-States,?
tst204,52, Private, 192390, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst205,20, Private, 34706, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 47, United-States,?
tst206,38, State-gov, 220421, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst207,24, Private, 238917, 5th-6th, 3, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, El-Salvador,?
tst208,66, ?, 299616, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States,?
tst209,28, Private, 152951, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst210,54, Self-emp-not-inc, 104748, 10th, 6, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 65, United-States,?
tst211,31, Private, 73796, Some-college, 10, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 30, United-States,?
tst212,22, ?, 87867, 12th, 8, Never-married, ?, Not-in-family, White, Male, 0, 0, 30, United-States,?
tst213,42, Self-emp-not-inc, 183765, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, ?,?
tst214,41, Private, 57233, Bachelors, 13, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst215,44, Private, 67671, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst216,63, Private, 149756, Assoc-acdm, 12, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst217,34, Self-emp-inc, 186824, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States,?
tst218,33, Private, 256211, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male, 0, 0, 40, South,?
tst219,31, Self-emp-not-inc, 348038, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 50, Puerto-Rico,?
tst220,35, Private, 340110, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1848, 70, United-States,?
